"No.","Report Name","Column Name"
"1","partition","Region"
"","","Country"
"","","Item_Type"
"","","Sales_Channel"
"","","Order_Priority"
"","","Order_Date"
"","","Order_ID"
"","","Ship_Date"
"","","Units_Sold"
"","","Unit_Price"
"","","Unit_Cost"
"","","Total_Revenue"
"","","Total_Cost"
"","","Total_Profit"
"","","_PARTITIONTIME"
"2","partitionByDay","Region"
"","","Country"
"","","Item_Type"
"","","Sales_Channel"
"","","Order_Priority"
"","","Order_Date"
"","","Order_ID"
"","","Ship_Date"
"","","Units_Sold"
"","","Unit_Price"
"","","Unit_Cost"
"","","Total_Revenue"
"","","Total_Cost"
"","","Total_Profit"
"","","_PARTITIONTIME"
"3","PartitionByMonth","Region"
"","","Country"
"","","Item_Type"
"","","Sales_Channel"
"","","Order_Priority"
"","","Order_Date"
"","","Order_ID"
"","","Ship_Date"
"","","Units_Sold"
"","","Unit_Price"
"","","Unit_Cost"
"","","Total_Revenue"
"","","Total_Cost"
"","","Total_Profit"
"","","_PARTITIONTIME"
"4","PartitionByYear","Region"
"","","Country"
"","","Item_Type"
"","","Sales_Channel"
"","","Order_Priority"
"","","Order_Date"
"","","Order_ID"
"","","Ship_Date"
"","","Units_Sold"
"","","Unit_Price"
"","","Unit_Cost"
"","","Total_Revenue"
"","","Total_Cost"
"","","Total_Profit"
"","","_PARTITIONTIME"
"5","SalesRecord","Region"
"","","Country"
"","","Item_Type"
"","","Sales_Channel"
"","","Order_Priority"
"","","Order_Date"
"","","Order_ID"
"","","Ship_Date"
"","","Units_Sold"
"","","Unit_Price"
"","","Unit_Cost"
"","","Total_Revenue"
"","","Total_Cost"
"","","Total_Profit"
"","","_PARTITIONTIME"
